[2021-06-27 00:56:17,422] [nioEventLoopGroup-2-1] [INFO ] [cn.ttplatform.wh.demo.ClientDuplexChannelHandler.channelRead(ClientDuplexChannelHandler.java:48)]: time = 107399946121500, count = 10000, msg = SetResultCommand{id='8fcfd875-aa42-47b5-8819-3e6d31b3a4739999', result=true}
[2021-06-27 00:56:17,527] [nioEventLoopGroup-2-1] [INFO ] [cn.ttplatform.wh.demo.ClientDuplexChannelHandler.channelRead(ClientDuplexChannelHandler.java:48)]: time = 107400050934700, count = 20000, msg = SetResultCommand{id='8fcfd875-aa42-47b5-8819-3e6d31b3a47319999', result=true}
[2021-06-27 00:56:17,634] [nioEventLoopGroup-2-1] [INFO ] [cn.ttplatform.wh.demo.ClientDuplexChannelHandler.channelRead(ClientDuplexChannelHandler.java:48)]: time = 107400158318200, count = 30000, msg = SetResultCommand{id='8fcfd875-aa42-47b5-8819-3e6d31b3a47329999', result=true}
[2021-06-27 00:56:17,873] [nioEventLoopGroup-2-1] [INFO ] [cn.ttplatform.wh.demo.ClientDuplexChannelHandler.channelRead(ClientDuplexChannelHandler.java:48)]: time = 107400397459700, count = 40000, msg = SetResultCommand{id='8fcfd875-aa42-47b5-8819-3e6d31b3a47339999', result=true}
[2021-06-27 00:56:17,960] [nioEventLoopGroup-2-1] [INFO ] [cn.ttplatform.wh.demo.ClientDuplexChannelHandler.channelRead(ClientDuplexChannelHandler.java:48)]: time = 107400484610900, count = 50000, msg = SetResultCommand{id='8fcfd875-aa42-47b5-8819-3e6d31b3a47349999', result=true}
[2021-06-27 00:56:18,048] [nioEventLoopGroup-2-1] [INFO ] [cn.ttplatform.wh.demo.ClientDuplexChannelHandler.channelRead(ClientDuplexChannelHandler.java:48)]: time = 107400572951800, count = 60000, msg = SetResultCommand{id='8fcfd875-aa42-47b5-8819-3e6d31b3a47359999', result=true}
[2021-06-27 00:56:18,299] [nioEventLoopGroup-2-1] [INFO ] [cn.ttplatform.wh.demo.ClientDuplexChannelHandler.channelRead(ClientDuplexChannelHandler.java:48)]: time = 107400823987900, count = 70000, msg = SetResultCommand{id='8fcfd875-aa42-47b5-8819-3e6d31b3a47369999', result=true}
[2021-06-27 00:56:18,386] [nioEventLoopGroup-2-1] [INFO ] [cn.ttplatform.wh.demo.ClientDuplexChannelHandler.channelRead(ClientDuplexChannelHandler.java:48)]: time = 107400911267100, count = 80000, msg = SetResultCommand{id='8fcfd875-aa42-47b5-8819-3e6d31b3a47379999', result=true}
[2021-06-27 00:56:18,474] [nioEventLoopGroup-2-1] [INFO ] [cn.ttplatform.wh.demo.ClientDuplexChannelHandler.channelRead(ClientDuplexChannelHandler.java:48)]: time = 107400997639800, count = 90000, msg = SetResultCommand{id='8fcfd875-aa42-47b5-8819-3e6d31b3a47389999', result=true}
[2021-06-27 00:56:18,647] [nioEventLoopGroup-2-1] [INFO ] [cn.ttplatform.wh.demo.ClientDuplexChannelHandler.channelRead(ClientDuplexChannelHandler.java:48)]: time = 107401171158500, count = 100000, msg = SetResultCommand{id='8fcfd875-aa42-47b5-8819-3e6d31b3a47399999', result=true}
